feature_index,channel,bin_fft,feature_type
0,aceleracao_x_mancal_a,0,approx_magnitude_abs_real_plus_abs_imag_q15
1,aceleracao_x_mancal_a,1,approx_magnitude_abs_real_plus_abs_imag_q15
2,aceleracao_x_mancal_a,2,approx_magnitude_abs_real_plus_abs_imag_q15
3,aceleracao_x_mancal_a,3,approx_magnitude_abs_real_plus_abs_imag_q15
4,aceleracao_x_mancal_a,4,approx_magnitude_abs_real_plus_abs_imag_q15
5,aceleracao_x_mancal_a,5,approx_magnitude_abs_real_plus_abs_imag_q15
6,aceleracao_x_mancal_a,6,approx_magnitude_abs_real_plus_abs_imag_q15
7,aceleracao_x_mancal_a,7,approx_magnitude_abs_real_plus_abs_imag_q15
8,aceleracao_x_mancal_a,8,approx_magnitude_abs_real_plus_abs_imag_q15
9,aceleracao_x_mancal_a,9,approx_magnitude_abs_real_plus_abs_imag_q15
10,aceleracao_x_mancal_a,10,approx_magnitude_abs_real_plus_abs_imag_q15
11,aceleracao_x_mancal_a,11,approx_magnitude_abs_real_plus_abs_imag_q15
12,aceleracao_x_mancal_a,12,approx_magnitude_abs_real_plus_abs_imag_q15
13,aceleracao_x_mancal_a,13,approx_magnitude_abs_real_plus_abs_imag_q15
14,aceleracao_x_mancal_a,14,approx_magnitude_abs_real_plus_abs_imag_q15
15,aceleracao_x_mancal_a,15,approx_magnitude_abs_real_plus_abs_imag_q15
16,aceleracao_x_mancal_a,16,approx_magnitude_abs_real_plus_abs_imag_q15
17,aceleracao_x_mancal_a,17,approx_magnitude_abs_real_plus_abs_imag_q15
18,aceleracao_x_mancal_a,18,approx_magnitude_abs_real_plus_abs_imag_q15
19,aceleracao_x_mancal_a,19,approx_magnitude_abs_real_plus_abs_imag_q15
20,aceleracao_x_mancal_a,20,approx_magnitude_abs_real_plus_abs_imag_q15
21,aceleracao_x_mancal_a,21,approx_magnitude_abs_real_plus_abs_imag_q15
22,aceleracao_x_mancal_a,22,approx_magnitude_abs_real_plus_abs_imag_q15
23,aceleracao_x_mancal_a,23,approx_magnitude_abs_real_plus_abs_imag_q15
24,aceleracao_x_mancal_a,24,approx_magnitude_abs_real_plus_abs_imag_q15
25,aceleracao_x_mancal_a,25,approx_magnitude_abs_real_plus_abs_imag_q15
26,aceleracao_x_mancal_a,26,approx_magnitude_abs_real_plus_abs_imag_q15
27,aceleracao_x_mancal_a,27,approx_magnitude_abs_real_plus_abs_imag_q15
28,aceleracao_x_mancal_a,28,approx_magnitude_abs_real_plus_abs_imag_q15
29,aceleracao_x_mancal_a,29,approx_magnitude_abs_real_plus_abs_imag_q15
30,aceleracao_x_mancal_a,30,approx_magnitude_abs_real_plus_abs_imag_q15
31,aceleracao_x_mancal_a,31,approx_magnitude_abs_real_plus_abs_imag_q15
32,aceleracao_x_mancal_a,32,approx_magnitude_abs_real_plus_abs_imag_q15
33,aceleracao_y_mancal_a,0,approx_magnitude_abs_real_plus_abs_imag_q15
34,aceleracao_y_mancal_a,1,approx_magnitude_abs_real_plus_abs_imag_q15
35,aceleracao_y_mancal_a,2,approx_magnitude_abs_real_plus_abs_imag_q15
36,aceleracao_y_mancal_a,3,approx_magnitude_abs_real_plus_abs_imag_q15
37,aceleracao_y_mancal_a,4,approx_magnitude_abs_real_plus_abs_imag_q15
38,aceleracao_y_mancal_a,5,approx_magnitude_abs_real_plus_abs_imag_q15
39,aceleracao_y_mancal_a,6,approx_magnitude_abs_real_plus_abs_imag_q15
40,aceleracao_y_mancal_a,7,approx_magnitude_abs_real_plus_abs_imag_q15
41,aceleracao_y_mancal_a,8,approx_magnitude_abs_real_plus_abs_imag_q15
42,aceleracao_y_mancal_a,9,approx_magnitude_abs_real_plus_abs_imag_q15
43,aceleracao_y_mancal_a,10,approx_magnitude_abs_real_plus_abs_imag_q15
44,aceleracao_y_mancal_a,11,approx_magnitude_abs_real_plus_abs_imag_q15
45,aceleracao_y_mancal_a,12,approx_magnitude_abs_real_plus_abs_imag_q15
46,aceleracao_y_mancal_a,13,approx_magnitude_abs_real_plus_abs_imag_q15
47,aceleracao_y_mancal_a,14,approx_magnitude_abs_real_plus_abs_imag_q15
48,aceleracao_y_mancal_a,15,approx_magnitude_abs_real_plus_abs_imag_q15
49,aceleracao_y_mancal_a,16,approx_magnitude_abs_real_plus_abs_imag_q15
50,aceleracao_y_mancal_a,17,approx_magnitude_abs_real_plus_abs_imag_q15
51,aceleracao_y_mancal_a,18,approx_magnitude_abs_real_plus_abs_imag_q15
52,aceleracao_y_mancal_a,19,approx_magnitude_abs_real_plus_abs_imag_q15
53,aceleracao_y_mancal_a,20,approx_magnitude_abs_real_plus_abs_imag_q15
54,aceleracao_y_mancal_a,21,approx_magnitude_abs_real_plus_abs_imag_q15
55,aceleracao_y_mancal_a,22,approx_magnitude_abs_real_plus_abs_imag_q15
56,aceleracao_y_mancal_a,23,approx_magnitude_abs_real_plus_abs_imag_q15
57,aceleracao_y_mancal_a,24,approx_magnitude_abs_real_plus_abs_imag_q15
58,aceleracao_y_mancal_a,25,approx_magnitude_abs_real_plus_abs_imag_q15
59,aceleracao_y_mancal_a,26,approx_magnitude_abs_real_plus_abs_imag_q15
60,aceleracao_y_mancal_a,27,approx_magnitude_abs_real_plus_abs_imag_q15
61,aceleracao_y_mancal_a,28,approx_magnitude_abs_real_plus_abs_imag_q15
62,aceleracao_y_mancal_a,29,approx_magnitude_abs_real_plus_abs_imag_q15
63,aceleracao_y_mancal_a,30,approx_magnitude_abs_real_plus_abs_imag_q15
64,aceleracao_y_mancal_a,31,approx_magnitude_abs_real_plus_abs_imag_q15
65,aceleracao_y_mancal_a,32,approx_magnitude_abs_real_plus_abs_imag_q15
66,aceleracao_x_mancal_b,0,approx_magnitude_abs_real_plus_abs_imag_q15
67,aceleracao_x_mancal_b,1,approx_magnitude_abs_real_plus_abs_imag_q15
68,aceleracao_x_mancal_b,2,approx_magnitude_abs_real_plus_abs_imag_q15
69,aceleracao_x_mancal_b,3,approx_magnitude_abs_real_plus_abs_imag_q15
70,aceleracao_x_mancal_b,4,approx_magnitude_abs_real_plus_abs_imag_q15
71,aceleracao_x_mancal_b,5,approx_magnitude_abs_real_plus_abs_imag_q15
72,aceleracao_x_mancal_b,6,approx_magnitude_abs_real_plus_abs_imag_q15
73,aceleracao_x_mancal_b,7,approx_magnitude_abs_real_plus_abs_imag_q15
74,aceleracao_x_mancal_b,8,approx_magnitude_abs_real_plus_abs_imag_q15
75,aceleracao_x_mancal_b,9,approx_magnitude_abs_real_plus_abs_imag_q15
76,aceleracao_x_mancal_b,10,approx_magnitude_abs_real_plus_abs_imag_q15
77,aceleracao_x_mancal_b,11,approx_magnitude_abs_real_plus_abs_imag_q15
78,aceleracao_x_mancal_b,12,approx_magnitude_abs_real_plus_abs_imag_q15
79,aceleracao_x_mancal_b,13,approx_magnitude_abs_real_plus_abs_imag_q15
80,aceleracao_x_mancal_b,14,approx_magnitude_abs_real_plus_abs_imag_q15
81,aceleracao_x_mancal_b,15,approx_magnitude_abs_real_plus_abs_imag_q15
82,aceleracao_x_mancal_b,16,approx_magnitude_abs_real_plus_abs_imag_q15
83,aceleracao_x_mancal_b,17,approx_magnitude_abs_real_plus_abs_imag_q15
84,aceleracao_x_mancal_b,18,approx_magnitude_abs_real_plus_abs_imag_q15
85,aceleracao_x_mancal_b,19,approx_magnitude_abs_real_plus_abs_imag_q15
86,aceleracao_x_mancal_b,20,approx_magnitude_abs_real_plus_abs_imag_q15
87,aceleracao_x_mancal_b,21,approx_magnitude_abs_real_plus_abs_imag_q15
88,aceleracao_x_mancal_b,22,approx_magnitude_abs_real_plus_abs_imag_q15
89,aceleracao_x_mancal_b,23,approx_magnitude_abs_real_plus_abs_imag_q15
90,aceleracao_x_mancal_b,24,approx_magnitude_abs_real_plus_abs_imag_q15
91,aceleracao_x_mancal_b,25,approx_magnitude_abs_real_plus_abs_imag_q15
92,aceleracao_x_mancal_b,26,approx_magnitude_abs_real_plus_abs_imag_q15
93,aceleracao_x_mancal_b,27,approx_magnitude_abs_real_plus_abs_imag_q15
94,aceleracao_x_mancal_b,28,approx_magnitude_abs_real_plus_abs_imag_q15
95,aceleracao_x_mancal_b,29,approx_magnitude_abs_real_plus_abs_imag_q15
96,aceleracao_x_mancal_b,30,approx_magnitude_abs_real_plus_abs_imag_q15
