label,fault_detail,load_nm,aceleracao_x_mancal_a,aceleracao_y_mancal_a,aceleracao_x_mancal_b,aceleracao_y_mancal_b,temperatura_mancal_a,temperatura_mancal_b,corrente_fase_u,corrente_fase_v,corrente_fase_w,temperatura_mancal_a_valida,temperatura_mancal_b_valida,corrente_fase_u_valida,corrente_fase_v_valida,corrente_fase_w_valida
desgaste_rolamento,BPFI_03,0,-3470,2946,-996,1700,27550,27472,11660,5761,-17132,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,900,-419,-1738,5340,27550,27472,13069,5581,-18422,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,106,420,-812,3762,27550,27472,13578,5963,-19412,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-3060,3130,-439,2421,27550,27472,12935,7173,-19603,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-502,-158,3,-535,27550,27472,14495,6622,-21173,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-135,-991,679,-2355,27550,27472,15018,5548,-20736,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-2843,1578,388,3213,27550,27472,14116,4830,-19172,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-97,-674,397,1689,27550,27472,12843,5387,-18465,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,3204,-2018,107,-792,27550,27472,12959,4178,-17050,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,427,715,-1444,1257,27550,27472,13625,3212,-16760,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,450,76,-511,-5151,27550,27472,14655,3494,-18214,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2241,-1545,-98,-6234,27550,27472,14496,4351,-19068,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-1818,676,-944,1191,27550,27472,15461,4774,-19936,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-2391,615,1178,99,27550,27472,16753,4045,-19979,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,53,-1405,2492,-97,27550,27472,16267,2724,-18805,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-586,-412,1178,2488,27550,27472,15549,2794,-17999,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,-970,135,2076,-1356,27550,27472,14513,2846,-17375,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,1699,-1011,2200,-1396,27550,27472,14971,1300,-16218,True,True,True,True,True
desgaste_rolamento,BPFI_03,0,2444,-390,438,-32,27550,27472,15875,409,-16218,True,True,True,True,True
