source_id,label,fault_detail,source_mat,mat_samples,mat_channels,mat_increment_s,mat_duration_s
0Nm_BPFI_03,desgaste_rolamento,BPFI_03,0Nm_BPFI_03.mat,1536000,4,3.90625e-05,60.0
0Nm_BPFI_10,desgaste_rolamento,BPFI_10,0Nm_BPFI_10.mat,1536000,4,3.90625e-05,60.0
0Nm_BPFI_30,desgaste_rolamento,BPFI_30,0Nm_BPFI_30.mat,1536000,4,3.90625e-05,60.0
0Nm_BPFO_03,desgaste_rolamento,BPFO_03,0Nm_BPFO_03.mat,1536000,4,3.90625e-05,60.0
0Nm_BPFO_10,desgaste_rolamento,BPFO_10,0Nm_BPFO_10.mat,1536000,4,3.90625e-05,60.0
0Nm_BPFO_30,desgaste_rolamento,BPFO_30,0Nm_BPFO_30.mat,1536000,4,3.90625e-05,60.0
0Nm_Misalign_01,desalinhamento,misalign_01,0Nm_Misalign_01.mat,3072000,4,3.90625e-05,120.0
0Nm_Misalign_03,desalinhamento,misalign_03,0Nm_Misalign_03.mat,3072000,4,3.90625e-05,120.0
0Nm_Misalign_05,desalinhamento,misalign_05,0Nm_Misalign_05.mat,3072000,4,3.90625e-05,120.0
0Nm_Normal,operacao_normal,normal,0Nm_Normal.mat,7680000,4,3.90625e-05,300.0
0Nm_Unbalance_0583mg,desbalanceamento,unbalance_0583mg,0Nm_Unbalance_0583mg.mat,3072000,4,3.90625e-05,120.0
0Nm_Unbalance_1169mg,desbalanceamento,unbalance_1169mg,0Nm_Unbalance_1169mg.mat,3072000,4,3.90625e-05,120.0
0Nm_Unbalance_1751mg,desbalanceamento,unbalance_1751mg,0Nm_Unbalance_1751mg.mat,3072000,4,3.90625e-05,120.0
0Nm_Unbalance_2239mg,desbalanceamento,unbalance_2239mg,0Nm_Unbalance_2239mg.mat,3072000,4,3.90625e-05,120.0
0Nm_Unbalance_3318mg,desbalanceamento,unbalance_3318mg,0Nm_Unbalance_3318mg.mat,3072000,4,3.90625e-05,120.0
