label,fault_detail,load_nm,rows,fold
desalinhamento,misalign_01,0,3071999,1
desalinhamento,misalign_01,2,3071999,2
desalinhamento,misalign_01,4,3071998,0
desalinhamento,misalign_03,0,3071999,2
desalinhamento,misalign_03,2,3071999,1
desalinhamento,misalign_03,4,3071998,0
desalinhamento,misalign_05,0,3071999,1
desalinhamento,misalign_05,2,3071999,2
desalinhamento,misalign_05,4,3071999,0
desbalanceamento,unbalance_0583mg,0,3071998,2
desbalanceamento,unbalance_0583mg,2,3071999,0
desbalanceamento,unbalance_0583mg,4,3071999,1
desbalanceamento,unbalance_1169mg,0,3071999,0
desbalanceamento,unbalance_1169mg,2,3071998,2
desbalanceamento,unbalance_1169mg,4,3071998,1
desbalanceamento,unbalance_1751mg,0,3071999,0
desbalanceamento,unbalance_1751mg,2,3071998,2
desbalanceamento,unbalance_1751mg,4,3071998,1
desbalanceamento,unbalance_2239mg,0,3071999,0
desbalanceamento,unbalance_2239mg,2,3071998,2
desbalanceamento,unbalance_2239mg,4,3071999,1
desbalanceamento,unbalance_3318mg,0,3071999,2
desbalanceamento,unbalance_3318mg,2,3071999,1
desbalanceamento,unbalance_3318mg,4,3071999,0
desgaste_rolamento,BPFI_03,0,1536000,2
desgaste_rolamento,BPFI_03,2,1536000,0
desgaste_rolamento,BPFI_03,4,1536000,1
desgaste_rolamento,BPFI_10,0,1535999,2
desgaste_rolamento,BPFI_10,2,1535999,1
desgaste_rolamento,BPFI_10,4,1536000,0
desgaste_rolamento,BPFI_30,0,1536000,0
desgaste_rolamento,BPFI_30,2,1535999,2
desgaste_rolamento,BPFI_30,4,1535999,1
desgaste_rolamento,BPFO_03,0,1535999,0
desgaste_rolamento,BPFO_03,2,1535999,1
desgaste_rolamento,BPFO_03,4,1535999,2
desgaste_rolamento,BPFO_10,0,1536000,1
desgaste_rolamento,BPFO_10,2,1536000,0
desgaste_rolamento,BPFO_10,4,1535999,2
desgaste_rolamento,BPFO_30,0,1535999,0
desgaste_rolamento,BPFO_30,2,1535999,1
desgaste_rolamento,BPFO_30,4,1535999,2
operacao_normal,normal,0,7679998,2
operacao_normal,normal,2,3071999,0
operacao_normal,normal,4,3071998,1
